city,enrolled_university,education_level,company_size,company_type,last_new_job,experience_bin,training_hours_bin
0.9939595157115492,0.0,1.0,0.1025178681866314,0.1817572729595975,0.6696272942739601,0.5485396465710136,0.6100752381818677
0.2741107606581808,0.0,0.0,1.0,1.0,1.0,1.0,0.9164315725168168
0.0756260930940975,0.0,1.0,0.0,0.2286444706902479,0.0,0.2006047703765868,0.9281615682903048
0.2741107606581808,0.0,1.0,0.0650158934977062,0.0,0.6696272942739601,1.0,0.9131516166231806
0.1111689266839695,1.0000000000000002,1.0,1.0,1.0,0.6696272942739601,1.0,0.7368024434807783
0.0985922992972941,0.0,0.5225745381771507,0.1788048054842662,0.1817572729595975,0.0,0.5485396465710136,0.9131516166231806
0.9939595157115492,0.0,0.5225745381771507,0.0,0.1817572729595975,1.0,1.0,0.9281615682903048
0.3584743480037206,1.0000000000000002,0.5225745381771507,0.1788048054842662,0.3314538149958579,1.0,0.5485396465710136,0.9164315725168168
0.2777627671052143,0.0,1.0,0.3756175684405084,0.1817572729595975,0.6696272942739601,0.0485384535839692,0.9164315725168168
0.9939595157115492,0.0,0.5225745381771507,0.3756175684405084,0.1817572729595975,0.6696272942739601,1.0,0.7368024434807783
0.2175582853181273,0.0,0.5225745381771507,0.1788048054842662,1.0,0.6696272942739601,0.5485396465710136,0.9131516166231806
0.2741107606581808,0.0,0.5225745381771507,0.1788048054842662,0.1817572729595975,0.6696272942739601,0.5485396465710136,0.9164315725168168
0.3110162578550504,0.0,1.0,0.1025178681866314,0.1817572729595975,0.6696272942739601,1.0,0.0327315652185471
0.4882630939698283,0.0,0.5225745381771507,0.1025178681866314,0.1817572729595975,0.5425828896730924,0.0485384535839692,0.9241193094981326
0.9939595157115492,1.0000000000000002,1.0,1.0,1.0,0.6696272942739601,1.0,0.6100752381818677
0.0198567412088523,0.0,1.0,1.0,1.0,0.3348689330657128,0.0,0.9164315725168168
0.0,0.0,1.0,0.3756175684405084,0.1817572729595975,1.0,0.0,0.9241193094981326
0.9939595157115492,1.0000000000000002,0.5225745381771507,0.1025178681866314,0.1817572729595975,0.0,1.0,0.9999999999999996
